abort	stdlib.h, process.h	void abort(void)	프로그램을 종료하되 비정상적으로 종료한다.
abs	math.h, stdlib.h	int abs(int x)	정수 x의 절대값을 계산한다.
absread	dos.h	int absread(int drive, int nsects, long lsect, void *buffer)	디스크의 특정 섹터를 읽는다. 한번에 최대 64K를 초과할수 없다.
abswrite	dos.h	int absread(int drive, int nsects, long lsect, void *buffer)	디스크의 특정 섹터에 기록한다. 한번에 최대 64K를 초과할수 없다.
access	io.h	int access(const char (filename, int amode)	파일의 존재여부와 읽고 쓸 수 있는지에 대해 조사한다.
acos	math.h	double acos(double x)	아크 코사인 값을 계산한다.
allocmem	dos.h	int allocmem(unsigned size, unsigned *segp)	도스 펑션 콜의 48h를 호출하여 메모리를 할당받는다.
arc	graphics.h	void far arc(int x, int y, int stangle, int endangle, int ratius)	원호를 그려준다.
arg	complex.h	double arg(complex x)	복소수 평면에서 주어진 수의 각도를 알아낸다.
asctime	time.h	char *asctime(const struct tm *tblock)	tm형 구조체에 저장되어 있는 시간, 날짜에 관한 정보를 문자열로 바꾼다.
asin	math.h	double asin(double x)	아크 사인 값을 계산한다.
assert	assert.h	void assert(int test)	인수로 전달되는 test가 0이면 프로그램을 종료한다.
atan	math.h	double atan(double x)	아크 탄젠트값을 계산한다.
atan2	math.h	double atan2(double y, double x)	atan(y/x)와 동일한 기능을 수행하는 함수이다. 단 x가 0에 가까운 값을때 atan보다 정확하다.
atexit	stdlib.h	int atexit(atexit_t func)	프로그램은 main 함수가 끝나거나 exit 함수에 의해 강제로 종료되면 상위 프로세서로 복귀한다.
atof	math.h, stdlib.h	double atof(const char*s)	문자열을 double형 부동소수점으로 바꾼다.
atoi	stdlib.h	int atoi(const char*s)	문자열을 정수로 변환한다.
atol	stdlib.h	int atol(const char*s)	문자열을 long형 정수로 변환한다.
bar	graphics.h	void far bar(int left, int right, int bottom)	좌상단 좌표에서 우상단을 대각선으로 하는 직사각형을 그린다.
bar3d	graphics.h	void far bar3d(int left, int right, int bottom, int depth, int topflag)	3차원의 사각형 바를 그린다. 좌상단에서 우하단을 대각선으로 하는 직사각형모양
bdos	dos.h	int bdos(int dosfun, unsigned dosdx, unsigned dosal)	도스 펑션 콜을 직적 호출한다.
bdosptr	dos.h	int bdosptr(int dosfun, void*argument, unsigned dosal)	도스 펑션 콜을 직적 호출한다.
bioscom	bios.h	int bioscom(int cmd, char abyte, int port)	RS232C 통신을 수행하며 BIOS 인터럽트 0x14번을 사용한다.
biosdisk	bios.h	int biosdisk(int cmd, int drive, int head, int track, int sector, int nsects, void *buffer)	직접적으로 디스크 입출력동작을 하며, BIOS 인터럽트의 0x13번을 사용한다.
biosequip	bios.h	int biosequip(void)	시스템에 설치된 장비의 개수 및 종류를 알아낸다.
bioskey	bios.h	int bioskey(int cmd)	BIOS 인터럽트 0x16을 사용하여 키보드 입출력을 수행한다.
biosmemory	bios.h	int biosmemory(void)	BIOS 인터럽트 0x12를 사용하여 램의 크기를 조사한다.
biosprint	bios.h	int biosprint(int cmd, int abyte, int port)	프린트 출력 작업을 행하되 BIOS 인터럽트  0x17을 사용한다.
biostime	bios.h	long biostime(int cmd, long nowtime)	BIOS 인터럽트 0x1a를 호출하여 타이머를 읽거나 설정한다.
brk	alloc.h	int brk(void *addr)	이 함수를 호출한 프로그램의 heep 크기를 바꾼다.
bsearch	stdlib.h	void bsearch(const void *key, const void *base, size_t nelem, size_t width, int (*fcmp)(const void*, const void*))	항목들을 담고 있는 테이블(보통 배열)을 뒤져 키값을 찾아내고 그 번지를 리턴한다.
cabs	math.h	double cabs(struct complex z)	복소수의 절대값을 구한다.
